phrase,abbr,count
prototype foamy virus,PFV,3
proton coupled folate transporter,PCFT,3
proton coupled folate transporter,hPCFT,3
protein phosphatases,PPase,3
protein misfolding cyclic amplification,PMCA,3
protein kinase D1,PKD1,3
protein S,PS,3
protein C,aPC,3
proteasome inhibitors,PI,3
prolyl endopeptidase,PE,3
prolonged duration local anesthetics,PDLA,3
proline glycine proline,PGP,3
programmed ribosomal frameshifting,PRF,3
progestin receptors,PR,3
pristane induced arthritis,PIA,3
primary ovarian insufficiency,POI,3
primary human keratinocytes,PHKs,3
primary effusion lymphomas,PEL,3
primary care physicians,PCP,3
pressure ulcers,PUs,3
premature termination codon,PTC,3
practice based research network,PBRN,3
potential reduced exposure products,PREPs,3
post thrombotic syndrome,PTS,3
post acute care,PAC,3
polycystic liver disease,PLD,3
poly N acetyl glucosamine,PNAG,3
point spread function,PSF,3
point of care,POC,3
pleural effusion lymphoma,PEL,3
plasmacytoid dendritic cells,PDCs,3
plasmacytoid dendritic cell,PDC,3
plasma renin activity,PRA,3
plasma membrane Ca2+ ATPase,PMCA,3
plasma cells,PCs,3
placental lactogen,hPL,3
pituitary adenylate cyclase activating peptide,PACAP,3
physical dependence,PD,3
photon laser scanning microscopy,2PLSM,3
phosphorylase kinase,PhK,3
phenome wide association study,PheWAS,3
petrosal ganglion,PG,3
persons living with HIV,PLWH,3
persistent truncus arteriosus,PTA,3
peroxisome proliferators,PPs,3
peripheral nerve stimulation,PNS,3
peripheral lymph nodes,PLN,3
peptidyl transferase center,PTC,3
peptidyl prolyl isomerase,PPIase,3
penicillin binding protein,PBP,3
pathogen recognition receptor,PRR,3
partial response,PR,3
paroxysmal atrial fibrillation,PAF,3
pariacoto virus,PaV,3
parasympathetic nervous system,PNS,3
parallel fiber,PF,3
parabrachial nuclei,PbN,3
pancreatic stellate cell,PSC,3
pancreatic intraepithelial neoplasia,PanIN,3
pancreatic endoplasmic reticulum kinase,PERK,3
pancreatic cancer,PanCa,3
paired helical filaments,PHF,3
oxygen consumption rate,OCR,3
ovine pulmonary carcinoma,OPC,3
outer plexiform layer,OPL,3
outer hair cells,OHC,3
oscillating gradient spin echo,OGSE,3
organic cations,OCs,3
organic anions,OAs,3
oral naltrexone,ON,3
optical coherence tomography,fdOCT,3
optical coherence elastography,OCE,3
oligosaccharyl transferase,OT,3
oligomycin sensitivity conferring protein,OSCP,3
olfactory receptors,ORs,3
olfactory marker protein,OMP,3
of hospital cardiac arrests,OHCA,3
of Corti,OC,3
odds ratio,OR,3
occipital cortex,OC,3
obliterative airway disease,OAD,3
nurse practitioners,NPs,3
nucleotide binding site,NBS,3
non small cell lung carcinomas,NSCLCs,3
non small cell lung cancer,NSCLCs,3
non preferring,NP,3
non exercise activity thermogenesis,NEAT,3
non esterified fatty acids,NEFAs,3
non allelic homologous recombination,NAHR,3
nitric oxide reductases,NORs,3
nitric oxide,7NO,3
nitric oxide,NO*,3
nipple aspirate fluid,NAF,3
neutrophil extracellular trap,NET,3
neural stem/progenitor cells,NSCs,3
neural precursor cell,NPC,3
neural crest mesenchyme,NCM,3
nerve fiber layer,NFL,3
nemo like kinase,NLK,3
nemaline myopathy,NM,3
myosin light chain,MLC20,3
myocardin related transcription factors,MRTFs,3
myocardial perfusion scintigraphy,MPS,3
myeloid suppressor cells,MSC,3
mutation accumulation,MA,3
muscle sympathetic nerve activity,MSNA,3
muscle glucose uptake,MGU,3
murine leukemia viruses,MLVs,3
multiwavelength anomalous diffraction,MAD,3
multiple quantum coherences,iMQCs,3
multiple drug resistance,MDR,3
multi organ failure,MOF,3
mucus penetrating particles,MPP,3
movement protein,MP,3
mouse pneumonitis,MoPn,3
motor vehicle crash,MVC,3
motivational intervention,MI,3
mood stabilizer,MS,3
mobilized peripheral blood,MPB,3
mitral cells,MCs,3
mitogen activate protein kinase,MAPK,3
mitochondrial targeting sequence,MTS,3
mitochondrial permeability transition pore,MPTP,3
mitochondria targeted antioxidants,MTAs,3
minor histocompatibility antigens,MiHA,3
minimal change disease,MCD,3
mini chromosome maintenance,MCM,3
mineralocorticoid receptors,MRs,3
microhomology mediated end joining,MMEJ,3
mesenchymal stem/stromal cells,MSCs,3
mesenchymal cells,MCs,3
mental illness,MI,3
mental health,MH,3
mental age,MA,3
meiosis I,MI,3
medullary thick ascending limb,MTAL,3
medical management,MM,3
median eminence,ME,3
medial superior olive,MSO,3
medial entorhinal cortex,MEC,3
mechanism of action,MOA,3
mechanically activated,MA,3
matrix vesicles,MVs,3
matrix assisted laser desorption ionization,MALDI,3
maternal microchimerism,MMc,3
mannan binding lectin,MBL,3
managed care organization,MCO,3
maltose binding protein,MBP,3
malonyl CoA decarboxylase,MCD,3
male specific lethal,MSL,3
major histocompatibility complexes,MHC,3
major histocompatability complex,MHC,3
major depression,MD,3
magnetic resonance spectroscopic,MRS,3
magnetic resonance imaging,fcMRI,3
macrophage stimulating protein,MSP,3
macrophage inflammatory protein,MIP,3
macrophage colony stimulating factor,MCSF,3
lysyl oxidase,LO,3
lysine binding sites,LBS,3
lymph node,dLN,3
lung volume reduction surgery,LVRS,3
lung transplant recipients,LTRs,3
lung surfactant,LS,3
luminescence resonance energy transfer,LRET,3
lower urinary tract,LUT,3
lower critical solution temperature,LCST,3
low molecular weight heparins,LMWH,3
low copy repeats,LCRs,3
loss of righting reflex,LORR,3
long term non progressors,LTNP,3
long chain base,LCB,3
locked nucleic acid,LNA,3
local anesthetic,LA,3
lobula giant movement detector,LGMD,3
liver endothelial cells,LEC,3
lipoprotein lipase,LpL,3
lipidic cubic phase,LCP,3
lipid phosphate phosphatases,LPPs,3
lipid binding proteins,iLBP,3
light chains,LCs,3
ligand gated ion channels,LGICs,3
leptin receptor,LR,3
lens epithelium derived growth factor,LEDGF,3
left ventricular ejection fraction,LVEF,3
lecithin retinol acyl transferase,LRAT,3
lateral geniculate nucleus,dLGN,3
latency associated protein,LAP,3
late onset sepsis,LOS,3
laser scanning confocal microscopy,LSCM,3
large dense core vesicles,LDCVs,3
lactic acid bacteria,LAB,3
laboratory information management system,LIMS,3
labile iron pool,LIP,3
knob associated histidine rich protein,KAHRP,3
kinetic isotope effects,KIEs,3
kinase domain,KD,3
keyhole limpet hemocyanin,KLH,3
keratinocyte stem cell,KSC,3
junctional sarcoplasmic reticulum,JSR,3
ischemia/ reperfusion,I/R,3
iron responsive elements,IREs,3
invasive pneumococcal disease,IPD,3
invasive ductal carcinoma,IDC,3
invasive breast cancer,IBC,3
intimal medial thickness,IMT,3
intima media thickening,IMT,3
interstitial fluid pressure,IFP,3
internal ribosome entry sites,IRES,3
internal ribosomal entry sequence,IRES,3
internal elastic lamina,IEL,3
internal capsule,IC,3
intermediate neural progenitors,INPs,3
intermediate mesoderm,IM,3
intermediate density lipoproteins,IDL,3
interferon stimulated responsive element,ISRE,3
interaural level difference,ILD,3
intellectual property,IP,3
intellectual disabilities,ID,3
integrated solid effect,ISE,3
insulin like peptides,ILPs,3
insular cortex,IC,3
institutional review board,IRB,3
inositol phosphates,IP,3
inner segment,IS,3
inner nuclear layer,INL,3
inner limiting membrane,ILM,3
inner cell mass,ICM,3
innate lymphoid cells,ILC2,3
innate lymphoid cells,ILC3,3
initiation factors,eIFs,3
initiation factors,eIF,3
infective endocarditis,IE,3
induced pluripotent stem,IPS,3
inclusion body myositis,IBM,3
inclusion bodies,IBs,3
in vivo expression technology,IVET,3
idiopathic generalized epilepsies,IGEs,3
hypoxic preconditioning,HP,3
hypoxia response element,HRE,3
hypoglossal motoneurons,HMs,3
hypersensitive sites,HS,3
hydrophobic domains,HD,3
human trabecular meshwork,HTM,3
human serum albumin,HSA,3
human saphenous vein,HSV,3
human monocytic ehrlichiosis,HME,3
human airway smooth muscle,HASM,3
hormone refractory prostate cancer,HRPC,3
hormone receptor,HR,3
hormonal replacement therapy,HRT,3
horizontal basal cells,HBCs,3
homology dependent repair,HDR,3
homeodomain interacting protein kinase,HIPK,3
histone locus body,HLB,3
histone deacetylase inhibitors,HDI,3
high salt,HS,3
high osmolarity glycerol,HOG,3
high grade gliomas,HGG,3
high functioning autism,HFA,3
high frequency oscillations,HFOs,3
high frequency oscillations,pHFOs,3
high bone mass,HBM,3
high blood pressure,HBP,3
hexosamine biosynthesis pathway,HBP,3
hereditary spherocytosis,HS,3
hepatoma derived growth factor,HDGF,3
hepatitis A virus,HAV,3
hemopoietic stem cells,HSCs,3
hemolytic uremic syndrome,aHUS,3
heme regulatory motifs,HRMs,3
heat shock proteins,sHSP,3
heat shock proteins,sHSPs,3
hearing aid,HA,3
health maintenance organization,HMO,3
health information exchange,HIE,3
halogenated aromatic hydrocarbons,HAHs,3
guanylate cyclase,GC,3
guanine exchange factor,GEF,3
growth factor,GF,3
grey matter,GM,3
graphics processing units,GPUs,3
granulosa cells,GCs,3
graft versus leukemia/lymphoma,GVL,3
good manufacturing practice,GMP,3
glycemic load,GL,3
glutathione reductase,GR,3
glutathione S transferase M1,GSTM1,3
glutamate receptor,iGluR,3
glucocorticoid response elements,GREs,3
glucocorticoid response element,GRE,3
glomus cell,GC,3
global genomic repair,GGR,3
glia maturation factor,GMF,3
giant unilamellar vesicles,GUVs,3
genetically engineered mouse models,GEMMs,3
genetically attenuated parasite,GAP,3
gene gene,GxG,3
ganglion cells,GCs,3
fusiform face area,FFA,3
functional communication training,FCT,3
full length,FL,3
fronto temporal dementia,FTD,3
"formalin fixed, paraffin embedded",FFPE,3
formalin fixed paraffin embedded,FFPE,3
food restriction,FR,3
follicular dendritic cells,FDCs,3
follicle stimulating hormone receptor,FSHR,3
follicle associated epithelium,FAE,3
fluoro deoxy glucose,FDG,3
fluoro D glucose,FDG,3
fluorescent resonance energy transfer,FRET,3
finite difference time domain,FDTD,3
field programmable gate array,FPGA,3
fibroblast growth factor,FGF2,3
fetal growth restriction,FGR,3
fetal alcohol exposure,FAE,3
female sex workers,FSW,3
feline panleukopenia virus,FPV,3
fee for service,FFS,3
fecal occult blood testing,FOBT,3
fatty acid transport protein,FATP,3
fastigial nucleus,FN,3
fast Fourier transforms,FFT,3
familial expansile osteolysis,FEO,3
familial dilated cardiomyopathy,FDC,3
familial amyotrophic lateral sclerosis,FALS,3
factor V,FV,3
"ezrin, radixin, moesin",ERM,3
extremely low birth weight,ELBW,3
extracellular regulated kinase,ERK1/2,3
external urethral sphincter,EUS,3
external tufted,ET,3
external granule layer,EGL,3
expressed protein ligation,EPL,3
expressed prostatic secretions,EPS,3
experimental autoimmune uveitis,EAU,3
excitatory amino acid transporters,EAATs,3
evidence based practice,EBP,3
evidence based medicine,EBM,3
evidence based intervention,EBI,3
ethyl glucuronide,EtG,3
estrogen responsive elements,EREs,3
estrogen related receptor,ERR,3
estrogen receptor,ERalpha,3
essential light chain,ELC,3
epoxide hydrolase,mEH,3
epithelial lining fluid,ELF,3
enriched environment,EE,3
enhanced usual care,EUC,3
energy intake,EI,3
endothelium derived hyperpolarizing factors,EDHFs,3
endothelial precursor cells,EPCs,3
endothelial lipase,EL,3
endothelial dysfunction,ED,3
endocochlear potential,EP,3
endochondral ossification,EO,3
emission computed tomography,ECT,3
emerging adulthood,EA,3
embryonic stem cell,mESC,3
embryoid bodies,EBs,3
electron microscope,EM,3
electron beam computerized tomography,EBCT,3
electro acupuncture,EA,3
electrical impedance myography,EIM,3
effective renal plasma flow,ERPF,3
ectopic pregnancy,EP,3
echo planar imaging,EPI,3
eating disorders,EDs,3
duck hepatitis B virus,DHBV,3
dose limiting toxicity,DLT,3
dosage compensation complex,DCC,3
dorsal ventral,DV,3
dorsal column nuclei,DCN,3
dorsal column,DC,3
donor lymphocyte infusion,DLI,3
disseminated tumor cells,DTCs,3
disseminated intravascular coagulation,DIC,3
disability adjusted life years,DALYs,3
direct to consumer advertising,DTCA,3
diphtheria toxin receptor,DTR,3
diffuse large cell lymphoma,DLCL,3
diffuse alveolar damage,DAD,3
diastolic heart failure,DHF,3
diastolic dysfunction,DD,3
dialysis related amyloidosis,DRA,3
developmentally delayed,DD,3
depression free days,DFDs,3
depressed patients,DP,3
density functional theory,DFT,3
dense core vesicle,DCV,3
dengue fever,DF,3
dendritic cells,mDCs,3
delayed xenograft rejection,DXR,3
delayed cerebral ischemia,DCI,3
deep venous thrombosis,DVT,3
deep inspiration,DI,3
deep hypothermic circulatory arrest,DHCA,3
decision aid,DA,3
death receptors,DRs,3
danger associated molecular patterns,DAMPs,3
cytochrome oxidase,CO,3
cytochrome P450 reductase,CPR,3
cysteine rich domain,CRD,3
cystatin C,CysC,3
cystathionine b synthase,CBS,3
cyclophilin D,CypD,3
"court involved, non incarcerated",CINI,3
coronary smooth muscle,CSM,3
coronary artery smooth muscle cells,CASMC,3
copy number variant,CNV,3
control women,CW,3
congenital stationary night blindness,CSNB,3
congenital muscular dystrophy,CMD,3
congenital heart block,CHB,3
conditioned responses,CRs,3
computerized adaptive testing,CAT,3
computer aided detection,CADe,3
compressed sensing,CS,3
complex spike,CS,3
complete response,CR,3
complete remission,CR,3
complementarity determining regions,CDRs,3
complement receptor,CR,3
comparative molecular field analysis,CoMFA,3
common lymphoid progenitors,CLP,3
common bile duct ligation,CBDL,3
combined pituitary hormone deficiency,CPHD,3
colony stimulating factor,CSF,3
collision induced dissociation,CID,3
collagen antibody induced arthritis,CAIA,3
colitis associated cancer,CAC,3
coiled coil,CC,3
coenzyme Q,CoQ,3
cocaine dependence,CD,3
coat protein,CP,3
clinical breast examination,CBE,3
cis regulatory elements,CREs,3
circulating endothelial cells,CECs,3
cigarette smoking,CS,3
chronic pelvic pain,CPP,3
chronic liver disease,CLD,3
chronic constriction injury,CCI,3
chromosome substitution strains,CSS,3
chromosomal passenger complex,CPC,3
chorionic villus sampling,CVS,3
chorda tympani,CT,3
cholic acid,CA,3
childhood abuse,CA,3
chemical shift imaging,CSI,3
chemical dependency,CD,3
characteristic frequency,CF,3
cell surface hydrophobicity,CSH,3
cell penetrating peptides,CPPs,3
cell mediated immune,CMI,3
cathepsin G,CG,3
cardiac rehabilitation,CR,3
cardiac neural crest,CNC,3
cardiac myocytes,CMs,3
cardiac conduction system,CCS,3
capping protein,CP,3
capacitative calcium entry,CCE,3
capacitative Ca2+ entry,CCE,3
cannabis use disorder,CUD,3
calcium release activated calcium,CRAC,3
calcium oxalate monohydrate,COM,3
calcium oxalate,CaOx,3
calcium influx factor,CIF,3
calcium dependent protein kinases,CDPKs,3
calcium dependent facilitation,CDF,3
calcium channel blockers,CCBs,3
calcium binding protein,CBP,3
cAMP response element modulator,CREM,3
cAMP response element,CRE,3
bundle forming pilus,BFP,3
buccal epithelial cells,BECs,3
bronchiolitis obliterans,BO,3
breast carcinoma in situ,BCIS,3
breast cancer resistance protein,BCRP,3
brain microvascular endothelial cells,BMECs,3
bovine serum albumin,BSA,3
bone mineral density,vBMD,3
bone mineral density,aBMD,3
bone marrow macrophages,BMMs,3
bone formation,BF,3
blood tumor barrier,BTB,3
blood glucose,BG,3
blood flow,BF,3
blood alcohol concentration,BAC,3
blast crisis,BC,3
bispecific antibodies,BsAb,3
bipolar cells,BCs,3
binding potential,BP,3
bimolecular fluorescence complementation,BiFC,3
betulinic acid,BA,3
benign familial neonatal convulsions,BFNC,3
benign essential blepharospasm,BEB,3
behavioral weight loss,BWL,3
axo glial septate junctions,AGSJs,3
autosomal dominant non syndromic hearing loss,ADNSHL,3
autosomal dominant,AD,3
autophagic lysosomal degradation,ALD,3
autistic spectrum disorder,ASD,3
auditory cortex,ACx,3
auditory brainstem responses,ABRs,3
ataxia telangiectasia like disorder,ATLD,3
assisted living facilities,ALFs,3
ascorbic acid,AA,3
as low as reasonably achievable,ALARA,3
artificial transcription factors,ATFs,3
artificial neural networks,ANNs,3
arterial pressure,AP,3
arrhythmogenic right ventricular dysplasia,ARVD,3
aromatase inhibitors,AI,3
aplastic anemia,AA,3
antigen presenting cells,aAPC,3
antidepressant drug,AD,3
antibody secreting cells,ASC,3
antibody dependent enhancement,ADE,3
anterior ventral cochlear nucleus,AVCN,3
anterior posterior,A/P,3
anterior forebrain pathway,AFP,3
anterior ectosylvian sulcus,AES,3
annulus fibrosus,AF,3
ankyrin repeat domain,ARD,3
ankle foot orthosis,AFO,3
angiotensin receptor blockers,ARBs,3
androgen independent prostate cancer,AIPC,3
and Pacific Islander,API,3
amyloid protein precursor,APP,3
amyloid precursor protein,hAPP,3
amino acid neurotransmitter,AANt,3
ambulatory care sensitive,ACS,3
amacrine cells,ACs,3
amacrine cell,AC,3
alpha hemoglobin stabilizing protein,AHSP,3
alopecia areata,AA,3
allergic contact dermatitis,ACD,3
alcohol related neurodevelopmental disorder,ARND,3
airway epithelial remodeling,AER,3
agent based model,ABM,3
affected sib pairs,ASPs,3
adverse event,AE,3
advanced intercross line,AIL,3
advance care planning,ACP,3
adrenergic receptors,beta2ARs,3
adrenergic receptor,bAR,3
adrenergic receptor,b2AR,3
adjuvant induced arthritis,AIA,3
adenylate cyclase,AC,3
adenosine receptors,ARs,3
adenosine receptor,A2aR,3
adenosine kinase,AK,3
adeno associated viruses,AAV,3
adenine nucleotide translocase,ANT,3
ad libitum,AL,3
acyl CoA dehydrogenases,ACDs,3
acute vascular rejection,AVR,3
acute tubular necrosis,ATN,3
acute myeloid leukemias,AMLs,3
acute lower respiratory infections,ALRI,3
acute ischemic stroke,AIS,3
activator protein,AP,3
activating protein,AP,3
acrosome reaction,AR,3
acrodermatitis enteropathica,AE,3
acquired immunodeficiency disease syndrome,AIDS,3
acoustic startle response,ASR,3
Womens Recovery Group,WRG,3
Withdrawal Seizure Prone,WSP,3
Williams Beuren syndrome,WBS,3
Whole genome association,WGA,3
Virtual Airway Skill Trainer,VAST,3
Vietnam Era Twin,VET,3
United States Preventive Services Task Force,USPSTF,3
Tumor Necrosis Factor Receptor,TNFR,3
The Jackson Laboratory,TJL,3
Tai Chi Chih,TCC,3
TNF receptor associated factors,TRAFs,3
TNF receptor associated factor,TRAF,3
TH receptor,TR,3
T helper,TH,3
Strong Heart Study,SHS,3
Standard Metropolitan Statistical Area,SMSA,3
St. Jude Childrens Research Hospital,SJCRH,3
Speech sound disorders,SSD,3
Small Animal Radiation Research Platform,SARRP,3
Sjogrens syndrome,SjS,3
Sjogren Larsson syndrome,SLS,3
Single Stranded Binding,SSB,3
Simultaneous Multi Slice,SMS,3
Simian immunodeficiency viruses,SIV,3
Severe hypoglycemia,SH,3
Severe Combined Immunodeficiency Disease,SCID,3
Sequential Multiple Assignment Randomized Trial,SMART,3
Secretory leukocyte protease inhibitor,SLPI,3
Seattle Social Development Project,SSDP,3
Schimke immuno osseous dysplasia,SIOD,3
Scavenger receptors,SR,3
Sarco Endoplasmic Reticulum Ca2+ ATPase,SERCA,3
San Antonio Family Heart Study,SAFHS,3
S6 kinase,S6K1,3
Rift Valley fever virus,RVFV,3
Resuscitation Outcomes Consortium,ROC,3
Replicating Effective Programs,REP,3
Relaxation Treatment,RT,3
Red Fluorescent Protein,RFP,3
Rancho Bernardo Study,RBS,3
Rakai Health Sciences Program,RHSP,3
RNA helicase A,RHA,3
RNA binding proteins,RBP,3
RNA binding domain,dsRBD,3
Purkinje neuron,PN,3
Public Use Microdata Sample,PUMS,3
Protein Z,PZ,3
Protein Interaction Reporter,PIR,3
Protein C,PC,3
Primary torsion dystonia,PTD,3
Primary aldosteronism,PA,3
Primary Hyperoxaluria,PH,3
Presidents Emergency Plan for AIDS Relief,PEPFAR,3
Prenatal alcohol exposure,PAE,3
Precaution Adoption Process Model,PAPM,3
Pre eclampsia,PE,3
Posterior sex combs,PSC,3
Post transplant lymphoproliferative disorder,PTLD,3
Port wine stain,PWS,3
Popular Opinion Leader,POL,3
Pneumocystis pneumonia,PcP,3
Photoactive yellow protein,PYP,3
Periventricular heterotopia,PH,3
Patent foramen ovale,PFO,3
Parent Child Interaction Therapy,PCIT,3
Panton Valentine Leukocidin,PVL,3
P1 artificial chromosome,PAC,3
Ovarian Cancer Association Consortium,OCAC,3
Osteoporosis Preventing Behaviors,OPB,3
Operation Iraqi Freedom,OIF,3
Norwalk virus,NV,3
North Carolina,NC,3
Nonarteritic anterior ischemic optic neuropathy,NAION,3
Non typhoidal Salmonella,NTS,3
Niemann Pick disease,NPD,3
Niemann Pick C1,NPC1,3
Niemann Pick C,NPC,3
Neuronal ceroid lipofuscinoses,NCLs,3
Natural products,NPs,3
National Comprehensive Cancer Network,NCCN,3
National Comorbidity Survey,NCS,3
National Birth Defects Prevention Study,NBDPS,3
Narcotics Anonymous,NA,3
N methyI D aspartate,NMDA,3
N heterocyclic carbenes,NHCs,3
Myelin Protein Zero,MPZ,3
Multifactor Dimensionality Reduction,MDR,3
Muckle Wells syndrome,MWS,3
Mouse Tumor Biology,MTB,3
Motivational Enhancement,ME,3
Molecular Libraries Production Centers Network,MLPCN,3
Miyoshi myopathy,MM,3
Missing in Metastasis,MIM,3
Minnesota Heart Survey,MHS,3
Micro Electro Mechanical Systems,MEMS,3
Mesenchymal Stromal Cell,MSC,3
Mast cells,MC,3
Mason Pfizer Monkey Virus,MPMV,3
Macrophage activation syndrome,MAS,3
MT associated proteins,MAPs,3
MAP kinase phosphatases,MKP,3
Longitudinal Twin Study,LTS,3
Liver transplantation,LTx,3
Limb girdle muscular dystrophy,LGMD,3
Lassa fever virus,LFV,3
LEOPARD syndrome,LS,3
L type calcium channels,LTCC,3
Kupffers vesicle,KV,3
Kupffer cells,KC,3
Kruppel like factors,KLFs,3
Kronos Early Estrogen Prevention Study,KEEPS,3
Korean American,KA,3
Kinetic Isotope Effect,KIE,3
Kaiser Permanente Medical Care Program,KPMCP,3
Investigational Device Exemption,IDE,3
International Cancer Genome Consortium,ICGC,3
Interactive Voice Recording,IVR,3
Interactive Research Project Grants,IRPG,3
Integrated Health Interview Series,IHIS,3
Inflammatory bowel diseases,IBDs,3
Indonesia Family Life Survey,IFLS,3
Imaging Mass Spectrometry,IMS,3
Idiopathic pulmonary arterial hypertension,IPAH,3
IFN stimulated genes,ISGs,3
IFN stimulated gene,ISG,3
Hypothalamic Neurohypophysial System,HNS,3
Holliday junction,HJ,3
Hodgkin disease,HD,3
High Content Screening,HCS,3
Heymann nephritis,HN,3
Hendra virus,HeV,3
Hemophilia A,HA,3
Helicobacter pylori,HP,3
Healthcare associated infections,HAI,3
Health Promotion Model,HPM,3
H3 receptors,H3R,3
Group A streptococci,GAS,3
Graves ophthalmopathy,GO,3
Good Behavior Game,GBG,3
Go Sun Smart,GSS,3
Global Protein Stability,GPS,3
Generalized Estimating Equation,GEE,3
Gene regulatory networks,GRN,3
Gene Set Enrichment Analysis,GSEA,3
G quadruplex,GQ,3
Fourier Transform,FT,3
Fluorescent Speckle Microscopy,FSM,3
Fibroblast activation protein,FAP,3
Fecal incontinence,FI,3
Fcgamma receptors,FcgammaR,3
Family Check Up,FCU,3
Family Based Association Tests,FBAT,3
Familial cold autoinflammatory syndrome,FCAS,3
FLOWERING LOCUS C,FLC,3
Extra sex combs,ESC,3
Expressed Emotion,EE,3
European ancestry,EA,3
Epo receptor,EpoR,3
Endometrial cancer,EC,3
Empirical Valence Bond,EVB,3
Ehlers Danlos syndrome,EDS,3
Dry eye syndrome,DES,3
Drosophila Gene Collection,DGC,3
Down syndrome cell adhesion molecule,DSCAM,3
Diffuse optical imaging,DOI,3
Differential scanning calorimetry,DSC,3
Diabetic kidney disease,DKD,3
Diabetic autonomic neuropathy,DAN,3
DNA damage tolerance,DDT,3
DNA damage repair,DDR,3
D1 receptors,D1R,3
Cutting Edge Basic Research Award,CEBRA,3
Creutzfeldt Jakob disease,vCJD,3
Coxsackie B viruses,CBV,3
Continuous Glucose Monitoring,CGM,3
Computed tomographic colonography,CTC,3
Comprehensive Health Enhancement Support System,CHESS,3
Comparative RNA Web,CRW,3
Colorado Adoption Project,CAP,3
Cognitive Processing Therapy,CPT,3
Classification and Regression Tree,CART,3
Clara cell secretory protein,CCSP,3
Chronic Disease Self Management Program,CDSMP,3
Chronic Care Model,CCM,3
Chromosome Passenger Complex,CPC,3
Chromatin immuno precipitation,ChIP,3
Cardiovascular Inflammation Reduction Trial,CIRT,3
Carbohydrate Deficient Glycoprotein Syndrome,CDGS,3
Candida Genome Database,CGD,3
Cancer initiating cells,CICs,3
Ca2+ dependent inactivation,CDI,3
CD8+ T lymphocyte,CTL,3
CCAAT enhancer binding protein,C/EBP,3
CCAAT displacement protein,CDP,3
C5a receptor,C5aR,3
C terminal fragments,CTF,3
C terminal fragments,CTFs,3
Bullous Pemphigoid,BP,3
Bruchs membrane,BrM,3
Brome Mosaic Virus,BMV,3
Brain Machine Interfaces,BMIs,3
Borna disease virus,BDV,3
Bogalusa Heart Study,BHS,3
Bloom Syndrome,BS,3
Bladder cancer,BC,3
Beth Israel Deaconess Medical Center,BIDMC,3
Beckwith Wiedemann syndrome,BWS,3
Beck Depression Inventory,BDI,3
Bayesian quantitative trait nucleotide,BQTN,3
Apraxia of speech,AOS,3
Antigen Presenting Cell,aAPC,3
Amylase binding streptococci,ABS,3
American Indians,AIs,3
Alzheimers Disease Neuroimaging Initiative,ADNI,3
Alzheimers Disease Center,ADC,3
Alternatively activated macrophages,AAM,3
Alcohol Use Disorders Identification Test,AUDIT,3
Ag presenting cells,APCs,3
Adult Day Services,ADS,3
Adoptive cell transfer,ACT,3
Adolescent idiopathic scoliosis,AIS,3
Adenylate cyclase toxin,ACT,3
Acoustic Droplet Vaporization,ADV,3
AIDS Clinical Trials Group,ACTG,3
ADP ribosylation factor,ARF,3
A1 receptor,A1R,3
A Kinase Anchor Proteins,AKAPs,3
zygotic genome activation,ZGA,2
zinc binding groups,ZBGs,2
yolk sac,YS,2
xylose isomerase,XyI,2
wide dynamic range compression,WDRC,2
whole genome bisulfite sequencing,WGBS,2
whole exome capture,WEC,2
whole body hyperthermia,WBH,2
white matter lesions,WML,2
white blood cells,WBCs,2
whisker functional representation,WFR,2
way junction,3WJ,2
walleye dermal sarcoma virus,WDSV,2
wait list,WL,2
waist circumference,WC,2
volume regulated anion channels,VRAC,2
voltage sensor domain,VSD,2
voltage sensitive dyes,VSD,2
voltage sensitive dye imaging,VSDI,2
voltage sensing phosphatase,VSP,2
voltage gated calcium channels,VGCC,2
voltage gated Ca2+ channel,VGCC,2
voltage dependent inactivation,VDI,2
voltage dependent anion carrier,VDAC,2
volatile organic compounds,VOCs,2
vocal fold fibroblasts,VFF,2
vitamin K reductase,VKR,2
vitamin D responsive elements,VDREs,2
vitamin D response element,VDRE,2
vitamin A deficient,VAD,2
vitamin A deficiency,VAD,2
vitamin A,VA,2
vital sign,VS,2
vit D receptor,VDR,2
visual field defects,VFDs,2
visual cortex,VC,2
vestibulo ocular reflex,aVOR,2
vesiculo vacuolar organelle,VVO,2
very low density lipoproteins,VLDLs,2
very long chain fatty acids,VLCFA,2
very high frequency,VHF,2
venus fly trap module,VFTM,2
ventricular tachyarrhythmia,VT,2
ventricular conduction system,VCS,2
ventricular arrhythmia,VA,2
ventral temporal cortex,VTC,2
ventral prostate,VP,2
ventral lateral medulla,rVLM,2
ventral hippocampus,VH,2
vein of Marshall,VOM,2
vascular progenitor cells,VPCs,2
vascular endothelial cells,VECs,2
vascular endothelial cells,VEC,2
vascular dementia,VaD,2
variably protease sensitive prionopathy,VPSPr,2
variable ventilation,VV,2
variable number tandem repeat,VNTR,2
vancomycin resistant S. aureus,VRSA,2
vancomycin resistant Enterococcus faecalis,VREF,2
valvular interstitial cells,VICs,2
vagus nerve stimulation,VNS,2
uridine phosphorylase,UPase,2
upstream regulatory elements,UREs,2
upstream activation sequence,UAS,2
upper respiratory infections,URIs,2
upper esophageal sphincter,UES,2
unstable angina,UA,2
unscheduled DNA synthesis,UDS,2
unrestrained video assisted plethysmography,UVAP,2
unique short,US,2
unilateral labyrinthectomy,UL,2
